abstract ce8,,,4
abstract clubrev,,,4
abstract clubscan,,,4
abstract colour,,,2
abstract future1,,,4
abstract future2,,,4
abstract future3,,,4
abstract galmoon,,,2
abstract galstar,,,4
abstract glad rev,,,4
abstract gladiator,,,4
abstract recscan,,,5
abstract twister,,,2
abstract vr8,,,4
abstract vr8ce,,,4
abstract vr8r,,,6
martin mac250K,Martin,MAC 250 Krypton,14,Mac250Krypton#16
martin mac250KEx,Martin,MAC 250 Krypton,17,Mac250Krypton#16EX
martin mac250m1,Martin,MAC 250,9,Mac250#M1
martin mac250m2,Martin,MAC 250,11,Mac250#M2
martin mac250m3,Martin,MAC 250,11,Mac250#M3
martin mac250m4,Martin,MAC 250,13,Mac250#M4
martin mac300m1,Martin,MAC 300,9,Mac300#M1
martin mac300m2,Martin,MAC 300,11,Mac300#M2
martin mac300m4,Martin,MAC 300,13,Mac300#M4
martin mac500m1,Martin,MAC 500,12,Mac500#M1_Gc_Ef
martin mac500m2,Martin,MAC 500,14,Mac500#M2_Gc_Ef
martin mac500m3,Martin,MAC 500,14,Mac500#M3_Gc_Ef
martin mac500m4,Martin,MAC 500,16,Mac500#M4_Gc_Ef
martin mac550basic,Martin,MAC 550,21,Mac550#Basic
martin mac550ex,Martin,MAC 550,27,Mac550#Extended
martin mac600m1,Martin,MAC 600,10,Mac600#M4
martin mac600m2,Martin,MAC 600,12,Mac600#M4
martin mac600m3,Martin,MAC 600,12,Mac600#M4
martin mac600m4,Martin,MAC 600,14,Mac600#M4
martin mac600nt,Martin,MAC 600 NT,15,Mac600NT#M4
martin minmacm,Martin,MiniMac Maestro,11,MiniMacMaes#M1
martin minmacp,Martin,MiniMac Profile,10,MiniMacPro#M1Fd
martin minmacw,Martin,MiniMac Wash,8,MiniMacWash#M1Fd
martin mx1,Martin,MX-1,6,MX1#6CH
martin mx10,Martin,MX-10 Extreme,13,
martin mx4-6c,Martin,MX-4,6,MX4#6CH
martin mx4-7c,Martin,MX-4,7,MX4#7CH
martin pal1200,Martin,Pal 1200,24,PAL1200#M2
martin pal1200em1,Martin,Pal 1200 FX,16,PAL1200#M1
martin pal1200em4,Martin,Pal 1200 FX,20,PALFX1200#M4
martin pal1200m4,Martin,Pal 1200,26,PAL1200#M4
martin pal1200t,,,24,
martin pro1220m1,Martin,Roboscan Pro 1220 RPR,13,RoboScan1220#
martin pro1220xr,Martin,Roboscan Pro 1220 XR,15,RoboScan1220#
martin pro218-7c,Martin,Roboscan Pro 218 MKII,7,
martin pro218hi,Martin,Roboscan Pro 218 MKII,8,RSPro218MKII#16_1
martin pro218lo,Martin,Roboscan Pro 218 MKII,6,RSPro218MKII#8
martin pro518,Martin,RoboScan Pro 518,9,RoboScan518#16bT
martin pro518m1,Martin,RoboScan Pro 518,7,RoboScan518#8bT
martin pro918m2,Martin,RoboScan Pro 918,14,RoboScan918#M2
martin pro918m4,Martin,RoboScan Pro 918,16,RoboScan918#M4
martin punish,,,6,
martin qfx150,,,5,
martin qx150,,,5,
martin rii1220,,,12,
martin rii1220e,,,15,
martin rii1220r,,,12,
martin rii1220re,,,16,
martin rob1004,,,5,
martin rob1012,,,12,
martin rob1016,,,7,
martin rob1020-12c,,,12,
martin rob1020-16c,,,16,
martin rob1220-12c,,,12,
martin rob1220-13c,,,13,
martin rob1220dm,,,16,
martin rob1220m1,Martin,Roboscan Pro 1220 CMYR,15,RoboScan1220#
martin rob1220m2,Martin,Roboscan Pro 1220 CMYR,17,RoboScan1220#
martin rob1220m3,Martin,Roboscan Pro 1220 CMYR,17,RoboScan1220#
martin rob1220m4,Martin,Roboscan Pro 1220 CMYR,19,RoboScan1220#
martin rob1220n,,,12,
martin rob1220rpr,Martin,Roboscan Pro 1220 RPR,17,
martin rob812,Martin,RoboScan 812,7,RoboScan812#
martin rob812m1,Martin,RoboScan 812,5,RoboScan812#
martin robcol2,,,6,
martin robcol3,,,6,
martin robcolmsd,,,7,
martin robcp,,,7,Robo400#M2
martin robcp400,Martin,RoboColor Pro 400,5,Robo400#M1
martin robcp400e,Martin,RoboColor Pro 400,7,Robo400#M2
martin robozap,,,6,
martin scx700m1,,,6,ManiaSCX700#M1_DimEn
martin scx700m2,,,10,ManiaSCX700#M2_DimEn
martin scx700m1nd,,,6,ManiaSCX700#M1DimDis
martin scx700m2nd,,,6,ManiaSCX700#M2DimDis
martin synchzap,,,6,
martin wizard,Martin,Wizard,6,
martin wizardhi,Martin,Wizard,8,
morpheus aclbeam,,,7,
morpheus briteburst,,,10,
morpheus colfad3,,,2,
morpheus colfad3d,,,2,
morpheus faderbeam,,,8,
morpheus pcspot,,,20,
morpheus powersoft,,,12,
morpheus powerspot,,,12,
motor head motorhead,,,5,
movitec sl250,Movitec,SL 250,16,
movitec sl575,Movitec,SL 575,16
movitec wl250,Movitec,WL 250,16
movitec wl575,Movitec,WL 575,16
neo r150,,,1
nippon nipponcol,,,3
njd datamoon,,,4
njd microbeam,,,4
njd predhx,,,4
njd predmx,,,4
njd spectre,,,8
njd spectre3c,,,3
optikenetics solar,,,7
pan command cfader,,,3
pan command cfader3,,,3
pan command cfader4,,,4
panscan panscan12c,,,12
panscan panscan15c,,,15
panscan panscan3c,,,3
pearl river chameleon,PR Lighting,Chameleon,2
pearl river mantis,,,3
pearl river moon,PR Lighting,Moon,7
pearl river moonmsd,,,6
pearl river navigator,,,19
pearl river nova,,,3
pearl river pilot150,,,8
pearl river pilot250,,,15
pearl river pilot250w,,,10
pearl river pilot300,,,10
pearl river planet,,,6
pearl river planetmsd,,,6
pearl river spcecrft,,,3
pearl river strobe,,,2
pearl river thtrcol,,,3,
pearl river thtrcollt,,,3,
pixie pixie,,,6,
psl rotoscan,,,6,
pulsar light chromofix,,,3,
pulsar light chromzone,,,6,
rl rlcanvas,,,16,
rl rlgrafix,,,24,
rl rlmask,,,11,
rl rlswitch,,,8,
rl rltext,,,12,
robe beam250,,,4,
robe cm150,,,3,150ATWash#
robe cm150prof,,,4,150ATProfile#
robe cm250,,,12,ColorMix250#M1
robe cs170,,,12,
robe dj150,,,4,
robe dj250,,,6,
robe ecol250,,,6,
robe recspot,,,12,
robe recwash,,,8,
robe scan1200,,,16,
robe scan250,,,16,
robe scan575,,,16,
robe spot150,,,8,
robe spot160,Robe,ClubSpot 160 CT,9,
robe spot250,Robe,Spot 250 XT,16,Spot250XT#16_M1
robe spot575,Robe,Spot 575 XT,16,Spot575XT#16_M1
robe spot250at,Robe,Color Spot 250 AT,18,Spot250AT#M1
robe spot575at,Robe,Color Spot 575 AT,27,Spot575AT#M1_SS
robe spot1200at,Robe,Color Spot 1200 AT,24,Spot1200AT#M24_SS
robe wash150,,,8,Wash150XT#16_M1
